Rue Lionel Dubray	LINESTRING (2.3822935 48.708854, 2.3822618 48.7089192, 2.3822586 48.7089261, 2.3822569 48.7089511, 2.3823088 48.7089997, 2.3824815 48.7091826, 2.3825808 48.7092569, 2.3827095 48.7093826, 2.3827578 48.709464, 2.3829268 48.7096259, 2.3830019 48.7096773, 2.3837408 48.7104427, 2.3837426 48.7105216, 2.3836771 48.7105833)
Rue Étienne Lebeau	LINESTRING (2.3891968 48.7084465, 2.3890948 48.7085009, 2.3889856 48.7085571, 2.3888595 48.7086185, 2.3886806 48.708701, 2.3886199 48.7087418, 2.3884346 48.7088622, 2.3883306 48.7089279, 2.3883161 48.7089371, 2.388214 48.7090107, 2.3881081 48.7091088, 2.3879195 48.7092508, 2.3878572 48.7092977, 2.3878117 48.7093137, 2.3877628 48.709326, 2.3877039 48.7093247, 2.3872531 48.7091919, 2.3872296 48.7091847, 2.3871038 48.7091522)
Rue Paul Vaillant-Couturier	LINESTRING (2.3883888 48.707899, 2.3884265 48.7079275, 2.3885017 48.7079761, 2.3885837 48.7080199, 2.3886054 48.7080312)
Rue Édouard Vaillant	LINESTRING (2.4024843 48.7125354, 2.4026379 48.7125105)
Avenue Aristide Briand	LINESTRING (2.3923778 48.7052401, 2.392311 48.7052953, 2.3921793 48.705408, 2.3918181 48.7057171, 2.3917618 48.7057677)
Route de Chilly	LINESTRING (2.3105002 48.7080855, 2.3105921 48.7082505, 2.310675 48.7083382, 2.3108976 48.708511)
Route de Massy	LINESTRING (2.3091717 48.7122427, 2.3089945 48.7121281, 2.3088864 48.7120843, 2.3087714 48.7120545, 2.3085057 48.7120153)
Avenue du Président Salvador Allende	LINESTRING (2.2619693 48.7303462, 2.2623875 48.7304074, 2.2626748 48.7304546, 2.2628642 48.7304857, 2.2630952 48.7305383, 2.2634759 48.7306392, 2.2639981 48.7308345, 2.2644081 48.7310427, 2.2647384 48.7312648, 2.2647792 48.7313016, 2.2650637 48.7315588, 2.2653095 48.731802, 2.2654021 48.7318894, 2.2655261 48.7320058, 2.2655837 48.7320504)
Avenue du Maréchal Kœnig	LINESTRING (2.3003452 48.7302576, 2.3002166 48.7302687, 2.2998447 48.7302739, 2.2997024 48.7302674, 2.2995219 48.7302592, 2.2990749 48.7301952, 2.2986254 48.7300607, 2.2981877 48.7299136, 2.2976134 48.7297494, 2.2906781 48.7279935, 2.2883793 48.7274163, 2.2844591 48.7263795)
Rue du Colonel Rozanoff	LINESTRING (2.396478 48.7314747, 2.3965837 48.7304671, 2.3966126 48.7301474)
Rue Ampère	LINESTRING (2.3965837 48.7304671, 2.3976033 48.7305283)
Rue de la Chaumière	LINESTRING (2.3976033 48.7305283, 2.3974474 48.7317913)
Rue Pierre Curie	LINESTRING (2.3986727 48.730341, 2.3986386 48.7305787)
Rue de la Prévoyante	LINESTRING (2.3998496 48.7304967, 2.3998288 48.7307233, 2.3996203 48.7324568)
Avenue Mazarin	LINESTRING (2.310811 48.7077551, 2.3106351 48.7078657, 2.3105825 48.707913, 2.3105 48.7080291)
Avenue de la Libération	LINESTRING (2.3208224 48.7024587, 2.3208653 48.7024146, 2.3208973 48.702399, 2.3210915 48.7023047, 2.3213059 48.7022029, 2.3213922 48.7021636, 2.3224316 48.7016659)
Rue Lavoisier	LINESTRING (2.3335889 48.7010481, 2.3334141 48.700987)
Avenue Jean Jaurès	LINESTRING (2.3295887 48.6993257, 2.3286103 48.6997352, 2.3264288 48.7007707, 2.3264058 48.7007816, 2.3263406 48.7008126, 2.3262671 48.7008441, 2.3262351 48.7008578, 2.3252715 48.7012703, 2.323675 48.7020011, 2.3230147 48.7023151)
Avenue Maurice Barrès	LINESTRING (2.3301675 48.699958, 2.3271151 48.7013528, 2.3270894 48.7013691, 2.3270437 48.7013916, 2.3270046 48.701408, 2.3269704 48.7014224, 2.3258883 48.7019153, 2.3234887 48.7030112, 2.3234451 48.703033)
